Stability_time_total_exposure,Stability_relative_humidity_average_value,JV_reverse_scan_FF,JV_default_Jsc,Cell_area_measured,JV_reverse_scan_PCE,Stability_PCE_initial_value,JV_forward_scan_Voc,JV_average_over_n_number_of_cells,Stability_light_intensity,Perovskite_deposition_number_of_deposition_steps
578.53674,33.598335,-82.09955,-90.80111,-30.591341,-57.35486,55.919907,-21.856665,-26.492146,5.30345,-3.1507666
523.9812,-33.6788,-52.40176,-44.591312,-85.800316,23.979568,-8.624392,-16.99721,12.952699,-15.003341,-1.1213608
-290.2396,1.7702757,-8.703051,-6.688857,-1.6667244,-11.020093,1.2452946,-1.5947778,7.613722,5.4990563,1.2553775
416.08813,3.1293952,-86.64291,1.9311228,16.44328,-46.33346,25.05343,-12.300094,-43.84978,60.146095,2.4850338
87.62325,29.131443,24.3834,8.919994,-1.3359493,-11.9926,-31.139412,-2.370216,4.767515,4.441904,0.87737596
-77.93976,-2.738995,-16.396029,-13.393913,-34.44998,-14.805384,-4.309032,-5.545141,8.316402,-11.804772,-0.026577853
-334.7332,-2.4734235,-6.127175,-6.256935,13.161626,8.612565,2.2367785,0.89854807,8.775962,-8.960381,1.0553372
-57.942665,-16.052036,6.5172887,45.259403,21.54494,-21.649899,4.471388,-5.6103272,3.1459527,2.2439444,0.89865893
244.53767,-17.289549,-19.181242,-19.806602,-62.80303,38.844406,-3.9221642,31.81734,7.6395183,4.844698,2.3842895
242.17133,-7.425922,-9.326609,7.8844314,-18.35697,50.58267,-5.6893783,-4.1305046,8.698715,-2.8573205,3.1655874
-167.94112,-4.4903927,-32.929897,11.776033,-19.341072,-10.315677,-2.5748818,-0.18755713,-5.332566,-11.239584,-0.9909393
253.90343,10.873227,-10.93952,-17.065235,16.881138,15.275766,3.5019257,-46.292904,7.7998204,55.3186,-8.627135
-378.86447,12.793133,7.9627733,0.22519362,7.2451434,13.443767,2.669483,9.060133,7.340682,-7.243329,0.1353165
-318.50418,-7.7888446,-16.088081,-7.3752065,-2.5817053,-18.391794,-18.180439,-1.9719824,6.2380304,3.2907186,0.08628028
-346.39908,7.271938,-22.33667,4.4737806,10.461625,13.167828,-6.4488244,-0.9530642,6.4770317,-16.17694,1.3172652
321.7722,18.023645,42.181576,-6.219106,5.6866164,18.19391,-13.430726,0.6592129,-33.054848,5.3636703,3.4429839
39.177826,-15.3841,-26.489359,-16.90513,73.75486,28.601646,-2.7716699,-1.5368209,0.39643565,4.8698773,1.2149748
